num,id,symbol,name
302,chainx,pcx,ChainX
303,enq-enecuum,enq,Enecuum
304,findora,fra,Findora
305,klay-token,klay,Klaytn
306,sucrecoin,xsr,Sucrecoin
307,bitcanna,bcna,BitCanna
308,newyork-exchange,nye,NewYork Exchange
309,solar,solar,Solar
310,zenzo,znz,ZENZO
311,vidulum,vdl,Vidulum
312,myce,yce,MYCE
313,daikicoin,dic,Daikicoin
314,exchangecoin,excc,ExchangeCoin
315,bitica-coin,bdcc,BITICA COIN
316,piratecash,pirate,PirateCash
317,secure-cash,scsx,Secure Cash
318,flits,fls,Flits
319,link,fnsa,FINSCHIA
320,lightyears,year,Lightyears
321,01coin,zoc,01coin
322,flow,flow,Flow
323,digitalbits,xdb,DigitalBits
324,akoin,akn,Akoin
325,hedera-hashgraph,hbar,Hedera
326,publish,news,PUBLISH
327,telos,tlos,Telos
328,fydcoin,fyd,FYDcoin
329,zano,zano,Zano
330,banano,ban,Banano
331,velas,vlx,Velas
332,bitcoinv,btcv,BitcoinV
333,certik,ctk,Shentu
334,blockstack,stx,Stacks
335,the-forbidden-forest,forestplus,The Forbidden Forest
336,merge,merge,Merge
337,jd-coin,jdc,JD Coin
338,nervos-network,ckb,Nervos Network
339,zynecoin,zyn,Zynecoin
340,minter-network,bip,Minter Network
341,safecapital,scap,SafeCapital
342,kusama,ksm,Kusama
343,litecash,cash,Litecash
344,guapcoin,guap,Guapcoin
345,ipx-token,ipx,Tachyon Protocol
346,fredenergy,fred,FRED Energy
347,original-crypto-coin,tusc,The Universal Settlement Coin
348,documentchain,dms,Documentchain
349,nyzo,nyzo,Nyzo
350,bitcoin-vault,btcv,Bitcoin Vault
351,creditcoin-2,ctc,Creditcoin
352,gleec-coin,gleec,Gleec Coin
353,handshake,hns,Handshake
354,edgeware,edg,Edgeware
355,pay-coin,pci,Paycoin
356,zent-cash,ztc,Zent Cash
357,proton,xpr,Proton
358,hive,hive,Hive
359,hive_dollar,hbd,Hive Dollar
360,sonocoin,sono,SonoCoin
361,solana,sol,Solana
362,epic-cash,epic,Epic Cash
363,kardiachain,kai,KardiaChain
364,ghost-by-mcafee,ghost,Ghost
365,uca,uca,UCA Coin
366,martkist,martk,Martkist
367,tnc-coin,tnc,TNC Coin
368,hathor,htr,Hathor
369,celo,celo,Celo
370,levelg,levelg,LEVELG
371,pyrk,pyrk,Pyrk
372,secret,scrt,Secret
373,waykichain-governance-coin,wgrt,WaykiChain Governance Coin
374,arweave,ar,Arweave
375,ucrowdme,ucm,UCROWDME
376,kadena,kda,Kadena
377,helium,hnt,Helium
378,vectorium,vect,Vectorium
379,digidinar-token,ddrt,DigiDinar Token
380,ravencoin-classic,rvc,Ravencoin Classic
381,sorachancoin,sora,SorachanCoin
382,aave-link,alink,Aave LINK
383,aave-snx,asnx,Aave SNX
384,aave-mkr,amkr,Aave MKR
385,aave-busd,abusd,Aave BUSD
386,defichain,dfi,DeFiChain
387,avalanche-2,avax,Avalanche
388,bitcoinpos,btcs,BitcoinPoS
389,idena,idna,Idena
390,fio-protocol,fio,FIO Protocol
391,nextdao,nax,NextDAO
392,nervenetwork,nvt,NerveNetwork
393,meter,mtrg,Meter Governance
394,temtem,tem,Temtum
395,hupayx,hpx,HUPAYX
396,mobility-coin,mobic,Mobility Coin
397,serum,srm,Serum
398,axel,axel,AXEL
399,coalculus,coal,Coalculus
400,fashion-coin,fshn,Fashion Coin
401,jur,jur,Jur
402,itam-games,itam,ITAM Games
403,metacoin,mtc,Metacoin
404,ndau,ndau,Ndau
405,near,near,NEAR Protocol
406,rio-defi,rfuel,RioDeFi
407,zensports,sports,ZenSports
408,sbet,sbet,SBET
409,xfuel,xfuel,XFUEL
410,meter-stable,mtr,Meter Stable
411,polkadot,dot,Polkadot
412,ahatoken,aht,AhaToken
413,klever,klv,Klever
414,nexalt,xlt,Nexalt
415,centrifuge,cfg,Centrifuge
416,hydradx,hdx,HydraDX
417,polkaswap,pswap,Polkaswap
418,datahighway,dhx,DataHighway
419,equilibrium-token,eq,Equilibrium
420,joystream,joy,Joystream
421,kilt-protocol,kilt,KILT Protocol
422,moonbeam,glmr,Moonbeam
423,radicle,rad,Radworks
424,utopia,crp,Crypton
425,elrond-erd-2,egld,MultiversX
426,kira,kira,KIRA
427,reef,reef,Reef
428,ethup,ethup,ETHUP
429,gather,gth,Gather
430,unifi-protocol,up,UniFi Protocol
431,new-bitshares,nbs,New BitShares
432,terrausd,ustc,TerraClassicUSD
433,ultra-clear,ucr,Ultra Clear
434,starname,iov,Starname
435,jackpot,777,Jackpot
436,conflux-token,cfx,Conflux
437,centaur,cntr,Centaur
438,akash-network,akt,Akash Network
439,everscale,ever,Everscale
440,oraichain-token,orai,Oraichain
441,wemix-token,wemix,WEMIX
442,blurt,blurt,Blurt
443,bitcoiva,bca,Bitcoiva
444,gasp,gasp,gAsp
445,coral-swap,coral,Coral Swap
446,uniworld,unw,UniWorld
447,farmland-protocol,far,Farmland Protocol
448,lyra,lyr,Lyra
449,alaya,atp,Alaya
